TIMESTAMP,APP_NAME,APP_PACKAGE,APP_CATEGORY,FOCUS_TYPE
1779301800000,Ama Bus,com.chalo.crut,Maps,GAINED
1779302978740,Ama Bus,com.chalo.crut,Maps,LOST
1779310696303,YONO SBI,com.sbi.lotusintouch,Productivity,GAINED
1779310972058,YONO SBI,com.sbi.lotusintouch,Productivity,LOST
1779315218516,Messages,com.google.android.apps.messaging,Social,GAINED
1779316175521,Messages,com.google.android.apps.messaging,Social,LOST
1779326678671,Blinkit,com.grofers.customerapp,Undefined,GAINED
1779327235664,Blinkit,com.grofers.customerapp,Undefined,LOST
1779331138842,HDFC Bank,com.snapwork.hdfc,Productivity,GAINED
1779331856515,HDFC Bank,com.snapwork.hdfc,Productivity,LOST
1779341663309,BOI Mobile,com.boi.ua.android,Productivity,GAINED
1779342489185,BOI Mobile,com.boi.ua.android,Productivity,LOST
1779351585785,MyJio,com.jio.myjio,Productivity,GAINED
1779352620503,MyJio,com.jio.myjio,Productivity,LOST
1779353724164,gCMOB,com.mm.android.direct.g_CMOB_XU,Productivity,GAINED
1779355517250,gCMOB,com.mm.android.direct.g_CMOB_XU,Productivity,LOST
1779363469799,Contacts,com.google.android.contacts,Social,GAINED
1779364432768,Contacts,com.google.android.contacts,Social,LOST
1779369383467,YONO SBI,com.sbi.lotusintouch,Productivity,GAINED
1779371025192,YONO SBI,com.sbi.lotusintouch,Productivity,LOST
1779381271455,Keep notes,com.google.android.keep,Productivity,GAINED
1779382607053,Keep notes,com.google.android.keep,Productivity,LOST
1779386495649,davaindia,com.davaindia,Undefined,GAINED
1779388152712,davaindia,com.davaindia,Undefined,LOST
